name,tags,rmp_info,take_again
"Woodley, David","['Hilarious (3)', 'Respected (2)', 'Gives good feedback (1)']",4.7,NA
"Fulk, Robert",[],4.7,NA
"Wadewitz, Adriane",[],2.7,NA
"Lieber, Fritz","['Hilarious (5)', 'Caring (4)', 'Respected (4)', 'Gives good feedback (3)', 'Inspirational (2)', 'Get ready to read (2)', 'Accessible outside class (1)']",4.4,NA
"Taysom, Martha",[],3.2,NA
"Stewart, Quincy",[],2.8,NA
,[],NA,NA
"Pilachowski, Catherine A.","['Respected (3)', 'Lecture heavy (3)', 'Inspirational (2)', 'Tough grader (2)', 'Caring (2)', 'Amazing lectures (1)', 'Accessible outside class (1)']",4.0,NA
"Dayton, Keith","['Caring (4)', 'Inspirational (2)', 'Respected (2)', 'Participation matters (1)', 'Hilarious (1)', 'Group projects (1)']",3.5,NA
"Fielding, Larry",[],2.9,NA
"Nash, Kelly",[],NA,NA
"Sainz, Gustavo",[],3.5,NA
,[],NA,NA
"Comentale, Ed","['Respected (1)', 'Get ready to read (1)', 'Amazing lectures (1)']",4.3,NA
"Huffman, Errol",[],5.0,NA
"Strange, Georgia",[],3.7,NA
"Wolin, Jeff",[],4.1,NA
"Bastianelli, Ann","['Gives good feedback (3)', 'Respected (2)', 'Group projects (2)', 'Caring (2)', 'Amazing lectures (1)']",3.6,NA
,[],NA,NA
"Knudsen, Daniel","['Lecture heavy (3)', 'Get ready to read (2)', 'Hilarious (1)', 'Respected (1)', 'Lots of homework (1)']",3.5,NA
"Grabe, Maria Beth","['Tough grader (2)', 'EXTRA CREDIT (1)', 'Lecture heavy (1)']",3.2,NA
"Rollins, Jack",[],3.7,NA
"Lesourd, Philip","['Respected (3)', 'Lecture heavy (2)', 'Inspirational (1)', 'Participation matters (1)']",3.5,NA
"Sengelaub, Dale","['Tough grader (4)', 'Hilarious (3)', 'Amazing lectures (2)', 'Inspirational (2)', 'Test heavy (2)', 'Caring (1)', 'Accessible outside class (1)', 'Respected (1)']",4.7,100%
"Potter, Gary",[],4.4,NA
"Holtzworth-Munroe, Amy","['So many papers (1)', 'Tough grader (1)', 'Group projects (1)']",3.6,NA
,[],NA,NA
"Tucker, Catherine",[],3.9,NA
"Cate, Fred",[],4.1,NA
"Dau-Schmidt, Ken","['Respected (7)', 'Inspirational (5)', 'Amazing lectures (2)', 'Get ready to read (2)', 'Caring (2)', 'Hilarious (2)', 'Gives good feedback (1)', 'Participation matters (1)', 'Beware of pop quizzes (1)']",4.7,NA
"Stake, Jeff","['Respected (1)', 'Inspirational (1)']",4.1,NA
"Pisano, Linda",['Hilarious (1)'],4.1,NA
,[],NA,NA
"Field, Arthur",[],3.4,NA
"Richards, Eric","['Tough grader (1)', 'Get ready to read (1)']",4.1,NA
"Hallett-Rupp, Karen",[],1.8,NA
"Ronquest, Rebecca",[],4.9,NA
"Binkowski, Alex",[],3.4,NA
,[],NA,NA
"Rottet, Kevin",[],3.4,NA
"Sinno, Abdulkader","['Participation matters (4)', 'Tough grader (2)', 'Get ready to read (2)', 'Inspirational (2)', 'EXTRA CREDIT (2)', 'Lots of homework (1)', 'Amazing lectures (1)']",3.8,NA
"Mejias-Lopez, Alejandro","['Get ready to read (4)', 'Lots of homework (2)', 'Respected (1)', 'Caring (1)', 'Clear grading criteria (1)']",4.5,NA
"Dinverno, Melissa","['Tough grader (4)', 'Gives good feedback (3)', 'Participation matters (3)', 'Get ready to read (3)', 'Lots of homework (2)', 'Caring (2)']",4.1,NA
"Billingham, Robert","['Caring (2)', 'Inspirational (2)', 'Tough grader (2)', 'Hilarious (2)', 'Get ready to read (2)']",2.9,NA
"Vance, Barbara","['Respected (1)', 'Participation matters (1)', 'Gives good feedback (1)']",3.9,NA
"Gerber, Michael",[],NA,NA
,[],NA,NA
"Klug, Howard",[],2.6,NA
"Robbin, Alice","['So many papers (1)', 'Get ready to read (1)', 'Group projects (1)']",2.9,NA
"Baldanzi, Jessica","['Tough grader (1)', 'Participation matters (1)']",4.3,NA
"Haile, Darrel",[],2.8,NA
